UF,Municipio,IBGE,IBGE7,UF,Município,latitude,longitude,Região,População 2010,Porte,BOTULISMO,LEISHMANIOSE VISCERAL,LEISHMANIOSE TEGUMENTAR,FEBRE AMARELA,DENGUE,HEPATITE VIRAL,FEBRE MACULOSA,LEPTOSPIROSE,DOENÇA DE CHAGAS,PICADAS DE COBRAS,ZIKA VÍRUS,FEBRE TIFÓIDE,HANTAVIROSE,MENINGITE,RAIVA
MG,Água Boa,310060,3100609,MG,Água Boa,"-17,9914","-42,3806",Região Sudeste,15195,Pequeno I,0,0,0,0,25,0,0,0,0,31,1,0,0,0,0
MT,Água Boa,510020,5100201,MT,Água Boa,"-14,051","-52,1601",Região Centro-Oeste,20856,Pequeno II,0,0,27,0,36,7,0,0,0,93,17,0,0,2,0
PI,Água Branca,220020,2200202,PI,Água Branca,"-5,88856","-42,637",Região Nordeste,16451,Pequeno I,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0
PB,Água Branca,250010,2500106,PB,Água Branca,"-7,51144","-37,6357",Região Nordeste,9449,Pequeno I,0,0,0,0,8,0,0,0,0,35,3,0,0,0,0
AL,Água Branca,270010,2700102,AL,Água Branca,"-9,262","-37,938",Região Nordeste,19377,Pequeno I,0,1,0,0,2,3,0,0,0,55,5,0,0,0,0
MS,Água Clara,500020,5000203,MS,Água Clara,"-20,4452","-52,879",Região Centro-Oeste,14424,Pequeno I,0,0,0,0,181,2,0,0,0,39,1,0,0,0,0
MG,Água Comprida,310070,3100708,MG,Água Comprida,"-20,0576","-48,1069",Região Sudeste,2025,Pequeno I,0,0,0,0,11,0,0,0,0,36,2,0,0,0,0
SC,Água Doce,420040,4200408,SC,Água Doce,"-26,9985","-51,5528",Região Sul,6961,Pequeno I,0,0,0,0,1,2,0,0,0,18,0,0,0,0,0
MA,Água Doce do Maranhão,210015,2100154,MA,Água Doce do Maranhão,"-2,84048","-42,1189",Região Nordeste,11581,Pequeno I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Água Doce do Norte,320016,3200169,ES,Água Doce do Norte,"-18,5482","-40,9854",Região Sudeste,11771,Pequeno I,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
